gene_id,SRR10720198,SRR10720199,SRR10720203,SRR10720205
gene-YCR018C,444,426,555,484
gene-YCR019W,547,603,522,511
gene-YCR020C,23,32,17,24
gene-YCR020C-A,254,228,226,206
gene-YCR020W-B,240,208,243,284
gene-YCR021C,348,328,286,343
gene-YCR022C,8,9,12,11
gene-YCR023C,377,468,419,411
gene-YCR024C,689,587,791,692
gene-YCR024C-A,1889,1776,1727,1604
gene-YCR024C-B,227,191,192,162
gene-YCR025C,8,14,7,9
gene-YCR026C,2246,2235,2454,2215
gene-YCR027C,517,465,480,434
gene-YCR028C,402,395,408,344
gene-YCR028C-A,352,289,314,334
gene-YCR030C,2568,2658,2827,2249
gene-YCR031C,850,943,984,955
gene-YCR032W,1642,1482,1513,1435
gene-YCR033W,7758,7695,8129,6800
gene-YCR034W,380,354,336,346
gene-YCR035C,1641,1487,1479,1451
gene-YCR036W,752,783,993,903
gene-YCR037C,2660,2522,2854,2493
gene-YCR038C,394,464,368,308
gene-YCR039C,0,1,0,1
gene-YCR040W,0,0,1,0
gene-YCR041W,0,0,0,0
gene-YCR042C,3366,3537,3882,3387
gene-YCR043C,372,318,278,286
gene-YCR044C,383,378,423,385
gene-YCR045C,5,2,3,1
gene-YCR046C,439,430,395,387
gene-YCR047C,2176,2216,1658,1509
gene-YCR048W,874,844,692,644
gene-YCR050C,2,1,0,0
gene-YCR051W,894,857,666,679
gene-YCR052W,2430,2351,2388,2018
gene-YCR053W,1655,1766,1783,1567
gene-YCR054C,490,452,442,369
gene-YCR057C,2965,2711,2488,2204
gene-YCR059C,480,448,375,366
gene-YCR060W,218,227,237,243
gene-YCR061W,761,787,1181,875
gene-YCR063W,471,504,469,411
gene-YCR065W,1934,1880,2302,1820
gene-YCR066W,409,418,416,392
gene-YCR067C,2380,2472,2709,2259
gene-YCR068W,988,1087,1110,902
gene-YCR069W,1101,1102,1160,1040
gene-YCR071C,955,1099,846,962
gene-YCR072C,685,716,509,417
gene-YCR073C,918,957,793,715
gene-YCR073W-A,599,531,465,554
gene-YCR075C,153,136,154,147
gene-YCR075W-A,131,113,82,95
gene-YCR076C,256,308,280,286
gene-YCR077C,3294,3275,3661,3062
gene-YCR079W,1036,1015,1028,1069
gene-YCR081W,1043,951,1139,940
gene-YCR082W,809,690,862,915
gene-YCR083W,154,137,97,98
gene-YCR084C,12649,13694,14467,10702
gene-YCR085W,3,3,6,5
gene-YCR086W,477,338,408,414
gene-YCR087C-A,744,716,536,544
gene-YCR088W,2496,2887,2777,2476
gene-YCR089W,1642,1701,1861,1487
gene-YCR090C,365,421,381,375
gene-YCR091W,652,579,508,540
gene-YCR092C,857,916,982,834
gene-YCR093W,13008,12624,15158,13818
gene-YCR094W,439,393,459,371
gene-YCR095C,847,832,997,875
gene-YCR095W-A,64,64,70,55
gene-YCR096C,1,2,0,1
gene-YCR097W,0,0,0,0
gene-YCR098C,45,40,14,15
gene-YCR099C,84,93,88,85
gene-YCR100C,138,145,137,139
gene-YCR101C,156,144,158,139
gene-YCR102C,2568,2366,3784,3624
gene-YCR104W,68,105,122,62
gene-YCR105W,7,12,15,6
gene-YCR106W,755,763,921,750
gene-YCR107W,288,260,333,288
gene-YCR108C,0,0,0,1
gene-YDL001W,866,898,829,811
gene-YDL002C,764,651,578,593
gene-YDL003W,4230,3619,5615,4979
gene-YDL004W,876,823,787,810
gene-YDL005C,4201,4361,4562,4150
gene-YDL006W,492,566,510,559
gene-YDL007C-A,0,0,0,0
gene-YDL007W,4015,4003,5229,5066
gene-YDL008W,251,255,256,247
gene-YDL009C,4,8,4,3
gene-YDL010W,534,427,659,628
gene-YDL012C,1805,1502,1766,1789
gene-YDL013W,2291,2890,2413,2236
gene-YDL014W,2529,2641,2353,2156
